input,sector,region,value
"Wood and Paper Products, and Printing (Section CC)",Construction (Section F),EU,2126.931084
"Wood and Paper Products, and Printing (Section CC)","Wholesale, Retail and Repairs (Section G)",EU,17758.77481
"Wood and Paper Products, and Printing (Section CC)",Transportation and Storage (Section H),EU,14022.02976
"Wood and Paper Products, and Printing (Section CC)",Accommodation and Food Services (Section I),EU,500.9713497
"Wood and Paper Products, and Printing (Section CC)",Information and Communication (Section J),EU,3412.810412
"Wood and Paper Products, and Printing (Section CC)",Financial and Insurance (Section K),EU,4311.142489
"Wood and Paper Products, and Printing (Section CC)",Real Estate Activities (Section L),EU,3072.459925
"Wood and Paper Products, and Printing (Section CC)","Professional, Scientific & Technical (Section M)",EU,7634.246447
"Wood and Paper Products, and Printing (Section CC)",Administrative and Support Services (Section N),EU,6731.234626
"Wood and Paper Products, and Printing (Section CC)",Public administration and defence; compulsory social security (Section O),EU,1527.508187
"Wood and Paper Products, and Printing (Section CC)",Education (Section P),EU,377.4500271
"Wood and Paper Products, and Printing (Section CC)",Other Services (Section (Q-U),EU,1097.610283
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Agriculture, Forestry and Fishing (Section A)",EU,1742.998085
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Mining & Quarrying (Section B),EU,134433.9899
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Food Products, Beverages and Tobacco Products (Section CA)",EU,12091.96537
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Textiles, Wearing Apparel and Leather (Section CB)",EU,1388.721299
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Wood and Paper Products, and Printing (Section CC)",EU,5308.35362
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,197764.343
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Basic Pharmaceuticals and Their Products (Section CF),EU,4014.443694
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,11565.02702
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,10540.02264
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Computer, Electronic and Optical Products (Section CI)",EU,1736.582101
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Electrical Equipment (Section CJ),EU,1539.073746
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Machinery and Equipment N.E.C. (Section CK),EU,3583.193105
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Transport Equipment (Section CL),EU,1334.122063
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,4725.714713
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Utilities (Section D,E)",EU,29285.4351
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Construction (Section F),EU,10330.39727
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Wholesale, Retail and Repairs (Section G)",EU,51982.70125
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Transportation and Storage (Section H),EU,36949.64387
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Accommodation and Food Services (Section I),EU,1377.248304
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Information and Communication (Section J),EU,6218.487553
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Financial and Insurance (Section K),EU,10114.09277
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Real Estate Activities (Section L),EU,3382.105346
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)","Professional, Scientific & Technical (Section M)",EU,32875.58009
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Administrative and Support Services (Section N),EU,10792.05906
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Public administration and defence; compulsory social security (Section O),EU,5167.463273
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Education (Section P),EU,924.4754665
"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",Other Services (Section (Q-U),EU,2313.770789
Basic Pharmaceuticals and Their Products (Section CF),"Agriculture, Forestry and Fishing (Section A)",EU,330.3293262
Basic Pharmaceuticals and Their Products (Section CF),Mining & Quarrying (Section B),EU,299.6993069
Basic Pharmaceuticals and Their Products (Section CF),"Food Products, Beverages and Tobacco Products (Section CA)",EU,1996.343262
Basic Pharmaceuticals and Their Products (Section CF),"Textiles, Wearing Apparel and Leather (Section CB)",EU,448.1151216
Basic Pharmaceuticals and Their Products (Section CF),"Wood and Paper Products, and Printing (Section CC)",EU,1821.510298
Basic Pharmaceuticals and Their Products (Section CF),"Coke, Refined Petroleum Products, Chemicals and Chemical Products (Section CD,CE)",EU,10692.41437
Basic Pharmaceuticals and Their Products (Section CF),Basic Pharmaceuticals and Their Products (Section CF),EU,15403.60649
Basic Pharmaceuticals and Their Products (Section CF),"Rubber, Plastic and Other Non-Metallic Mineral Products (Section CG)",EU,2151.693171
Basic Pharmaceuticals and Their Products (Section CF),"Basic Metals and Fabricated Metal Products, Except Machinery (Section CH)",EU,969.3054777
Basic Pharmaceuticals and Their Products (Section CF),"Computer, Electronic and Optical Products (Section CI)",EU,491.5010252
Basic Pharmaceuticals and Their Products (Section CF),Electrical Equipment (Section CJ),EU,244.6345936
Basic Pharmaceuticals and Their Products (Section CF),Machinery and Equipment N.E.C. (Section CK),EU,584.4119797
Basic Pharmaceuticals and Their Products (Section CF),Transport Equipment (Section CL),EU,584.6639346
Basic Pharmaceuticals and Their Products (Section CF),"Furniture, Other Manufacturing; Repair and Installation of Machinery and Equipment (Section CM)",EU,1048.411195
Basic Pharmaceuticals and Their Products (Section CF),"Utilities (Section D,E)",EU,2311.534038
Basic Pharmaceuticals and Their Products (Section CF),Construction (Section F),EU,1081.218206
Basic Pharmaceuticals and Their Products (Section CF),"Wholesale, Retail and Repairs (Section G)",EU,9445.278971
